school_name,country
University of Melbourne,Australia
Australian National University,Australia
University of Sydney,Australia
University of Adelaide,Australia
The University of Queensland,Australia
University of New South Wales,Australia
Monash University,Australia
University of Western Australia,Australia
Macquarie University,Australia
University of Wollongong,Australia
Queensland University of Technology,Australia
University of Newcastle,Australia
Charles Darwin University,Australia
University of Tasmania,Australia
Curtin University,Australia
Deakin University,Australia
Flinders University,Australia
Griffith University,Australia
La Trobe University,Australia
Swinburne University of Technology,Australia
University of South Australia,Australia
Murdoch University,Australia
University of Technology Sydney,Australia
Western Sydney University,Australia
James Cook University,Australia
RMIT University,Australia
Southern Cross University,Australia
University of Canberra,Australia
Central Queensland University,Australia
Edith Cowan University,Australia
University of Southern Queensland,Australia
